trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-01-16,2026-01-16 09:20:00+05:30,2026-03-30,delta_target,61000.0,61000.0,994.5,1410.0,1080.0,1266.0,COMBINED_TGT,COMBINED_TGT,1755.0,120.0,1635.0,-1965.0,COMBINED_TGT
2026-01-19,2026-01-19 09:20:00+05:30,2026-03-30,delta_target,61000.0,61000.0,983.8,1360.0,948.75,1338.2,COMBINED_TGT,COMBINED_TGT,1705.4999999999973,120.0,1585.4999999999973,-403.50000000000455,COMBINED_TGT
2026-01-20,2026-01-20 09:20:00+05:30,2026-03-30,delta_target,61000.0,60000.0,973.85,877.85,807.0,1093.0,EOD,EOD,-1448.9999999999986,120.0,-1568.9999999999986,-1448.9999999999982,EOD
2026-01-21,2026-01-21 09:20:00+05:30,2026-03-30,delta_target,60000.0,59800.0,1265.0,987.05,1140.0,1047.3,COMBINED_TGT,COMBINED_TGT,1942.5,120.0,1822.5,-574.5000000000027,COMBINED_TGT
2026-01-22,2026-01-22 09:20:00+05:30,2026-03-30,delta_target,60000.0,60500.0,1315.8,1393.35,1314.7,1307.15,COMBINED_TGT,COMBINED_TGT,2618.999999999992,120.0,2498.999999999992,0.0,COMBINED_TGT
2026-01-23,2026-01-23 09:20:00+05:30,2026-03-30,delta_target,60200.0,59500.0,1158.65,1001.3,1039.9,1054.1,COMBINED_TGT,COMBINED_TGT,1978.5000000000014,120.0,1858.5000000000014,-3784.499999999996,COMBINED_TGT
2026-01-27,2026-01-27 09:20:00+05:30,2026-03-30,delta_target,58900.0,59500.0,1455.5,1480.25,1455.5,1400.8,COMBINED_TGT,COMBINED_TGT,2383.5000000000014,120.0,2263.5000000000014,-1337.9999999999973,COMBINED_TGT
2026-01-28,2026-01-28 09:20:00+05:30,2026-03-30,delta_target,60000.0,59800.0,1369.1,1043.8,1283.0,1069.45,COMBINED_TGT,COMBINED_TGT,1813.4999999999945,120.0,1693.4999999999945,0.0,COMBINED_TGT
2026-01-29,2026-01-29 09:20:00+05:30,2026-03-30,delta_target,60000.0,60500.0,1287.35,1412.0,1391.5,1237.65,COMBINED_TGT,COMBINED_TGT,2105.9999999999945,120.0,1985.9999999999945,-930.0,COMBINED_TGT
2026-01-30,2026-01-30 09:20:00+05:30,2026-03-30,delta_target,60500.0,59900.0,1088.65,1039.4,1086.4,1020.7,EOD,EOD,628.5000000000014,120.0,508.50000000000136,-3568.4999999999945,EOD
