trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-01-22,2026-01-22 09:20:00+05:30,2026-03-02,premium_target,27000.0,25000.0,42.3,222.65,43.4,266.75,COMBINED_SL,COMBINED_SL,-2260.0,100.0,-2360.0,-2259.9999999999995,COMBINED_SL
2026-01-23,2026-01-23 09:20:00+05:30,2026-03-02,premium_target,27000.0,25000.0,41.0,243.25,36.5,291.85,COMBINED_SL,COMBINED_SL,-2205.000000000001,100.0,-2305.000000000001,-2205.000000000001,COMBINED_SL
2026-01-27,2026-01-27 09:20:00+05:30,2026-03-02,premium_target,26500.0,24500.0,71.75,229.95,81.6,173.15,COMBINED_TGT,COMBINED_TGT,2347.4999999999995,100.0,2247.4999999999995,0.0,COMBINED_TGT
2026-01-28,2026-01-28 09:20:00+05:30,2026-03-02,premium_target,26500.0,24500.0,82.45,123.0,60.9,107.0,COMBINED_TGT,COMBINED_TGT,1877.5000000000002,100.0,1777.5000000000002,-25.0,COMBINED_TGT
2026-01-29,2026-01-29 09:20:00+05:30,2026-03-02,premium_target,26500.0,24000.0,58.8,60.0,71.25,47.95,EOD,EOD,-20.000000000000284,100.0,-120.00000000000028,-277.5000000000002,EOD
2026-01-30,2026-01-30 09:20:00+05:30,2026-03-02,premium_target,26500.0,24000.0,56.0,57.5,62.0,55.0,EOD,EOD,-175.0,100.0,-275.0,-495.0000000000003,EOD
2026-02-01,2026-02-01 09:20:00+05:30,2026-03-02,premium_target,26500.0,24000.0,59.7,59.35,39.35,77.155,EOD,LEG_SL,127.25000000000009,100.0,27.250000000000085,-444.99999999999955,EOD
2026-02-02,2026-02-02 09:20:00+05:30,2026-03-02,premium_target,26150.0,24000.0,60.4,123.55,54.3,98.5,COMBINED_TGT,COMBINED_TGT,1557.5,100.0,1457.5,-692.5000000000001,COMBINED_TGT
2026-02-03,2026-02-03 09:20:00+05:30,2026-03-02,premium_target,27000.0,24800.0,81.35,79.6,38.55,103.47999999999999,EOD,LEG_SL,946.0000000000001,100.0,846.0000000000001,0.0,EOD
2026-02-04,2026-02-04 09:20:00+05:30,2026-03-02,premium_target,26700.0,24750.0,61.85,58.7,54.85,47.0,EOD,EOD,935.0000000000001,100.0,835.0000000000001,-2.499999999999858,EOD
2026-02-05,2026-02-05 09:20:00+05:30,2026-03-02,premium_target,26550.0,24850.0,62.0,58.5,52.3,60.35,EOD,EOD,392.50000000000006,100.0,292.50000000000006,-242.49999999999972,EOD
2026-02-06,2026-02-06 09:20:00+05:30,2026-03-02,premium_target,26400.0,24850.0,62.5,64.55,67.0,51.3,EOD,EOD,437.5,100.0,337.5,0.0,EOD
2026-02-09,2026-02-09 09:20:00+05:30,2026-03-02,premium_target,26550.0,25100.0,61.0,60.2,62.0,57.85,EOD,EOD,67.50000000000007,100.0,-32.49999999999993,0.0,EOD
2026-02-10,2026-02-10 09:20:00+05:30,2026-03-02,premium_target,26600.0,25250.0,55.0,61.0,51.05,53.9,EOD,EOD,552.5000000000002,100.0,452.5000000000002,-157.49999999999994,EOD
2026-02-11,2026-02-11 09:20:00+05:30,2026-03-02,premium_target,26600.0,25450.0,56.15,61.6,47.55,69.45,EOD,EOD,37.5,100.0,-62.5,-197.4999999999998,EOD
2026-02-12,2026-02-12 09:20:00+05:30,2026-03-02,premium_target,26450.0,25300.0,58.65,58.65,50.45,62.05,EOD,EOD,239.99999999999986,100.0,139.99999999999986,-207.4999999999999,EOD
2026-02-13,2026-02-13 09:20:00+05:30,2026-03-02,premium_target,26200.0,25050.0,63.65,58.45,53.3,75.985,EOD,LEG_SL,-359.2499999999998,100.0,-459.2499999999998,-459.2499999999997,EOD
2026-02-16,2026-02-16 09:20:00+05:30,2026-03-02,premium_target,26100.0,24850.0,59.3,60.95,77.09,44.8,LEG_SL,EOD,-82.00000000000003,100.0,-182.00000000000003,-234.50000000000023,EOD
2026-02-17,2026-02-17 09:20:00+05:30,2026-03-02,premium_target,26100.0,24950.0,63.15,57.4,82.095,37.45,LEG_SL,EOD,50.24999999999977,100.0,-49.75000000000023,-409.75,EOD
2026-02-18,2026-02-18 09:20:00+05:30,2026-03-02,premium_target,26150.0,25250.0,57.25,58.4,74.425,48.95,LEG_SL,EOD,-386.25000000000006,100.0,-486.25000000000006,-443.75,EOD
2026-02-19,2026-02-19 09:20:00+05:30,2026-03-02,premium_target,26200.0,25450.0,59.5,58.05,28.3,75.465,EOD,LEG_SL,689.2499999999997,100.0,589.2499999999997,-410.7500000000002,EOD
2026-02-20,2026-02-20 09:20:00+05:30,2026-03-02,premium_target,25900.0,24900.0,59.95,57.75,77.935,50.75,LEG_SL,EOD,-549.25,100.0,-649.25,-861.75,EOD
2026-02-23,2026-02-23 09:20:00+05:30,2026-03-02,premium_target,26150.0,25250.0,57.45,59.85,41.25,77.805,EOD,LEG_SL,-87.75000000000013,100.0,-187.7500000000001,-287.7500000000001,EOD
2026-02-24,2026-02-24 09:20:00+05:30,2026-03-02,premium_target,25900.0,25150.0,61.25,59.95,37.65,77.935,EOD,LEG_SL,280.7500000000001,100.0,180.7500000000001,-217.50000000000006,EOD
2026-02-25,2026-02-25 09:20:00+05:30,2026-03-02,premium_target,25850.0,25350.0,57.75,59.85,75.075,77.805,LEG_SL,LEG_SL,-1764.0000000000005,100.0,-1864.0000000000005,-1764.0000000000005,BOTH_LEGS_SL_OR_EXITED
2026-02-26,2026-02-26 09:20:00+05:30,2026-03-02,premium_target,25700.0,25300.0,61.3,59.25,79.69,77.025,LEG_SL,LEG_SL,-1808.2500000000002,100.0,-1908.2500000000002,-1808.2500000000002,BOTH_LEGS_SL_OR_EXITED
2026-02-27,2026-02-27 09:20:00+05:30,2026-03-02,premium_target,25500.0,25250.0,65.75,56.55,24.5,73.515,EOD,LEG_SL,1214.2499999999998,100.0,1114.2499999999998,-242.49999999999977,EOD
