trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-01-22,2026-01-22 09:20:00+05:30,2026-03-02,delta_target,27000.0,25200.0,42.3,286.1,42.0,295.3,EOD,EOD,-444.99999999999955,100.0,-544.9999999999995,-3805.0,EOD
2026-01-23,2026-01-23 09:20:00+05:30,2026-03-02,delta_target,27000.0,25200.0,41.0,309.6,35.6,402.15,COMBINED_SL,COMBINED_SL,-4357.499999999997,100.0,-4457.499999999997,-4357.499999999998,COMBINED_SL
2026-01-27,2026-01-27 09:20:00+05:30,2026-03-02,delta_target,25050.0,25000.0,525.95,391.7,525.95,305.0,COMBINED_TGT,COMBINED_TGT,4334.999999999999,100.0,4234.999999999999,0.0,COMBINED_TGT
2026-01-28,2026-01-28 09:20:00+05:30,2026-03-02,delta_target,25500.0,25500.0,406.7,399.0,372.05,383.35,COMBINED_TGT,COMBINED_TGT,2514.9999999999977,100.0,2414.9999999999977,-467.50000000000114,COMBINED_TGT
2026-01-29,2026-01-29 09:20:00+05:30,2026-03-02,delta_target,25350.0,25400.0,432.25,367.9,494.6,295.85,EOD,EOD,484.9999999999966,100.0,384.9999999999966,-2855.000000000001,EOD
2026-01-30,2026-01-30 09:20:00+05:30,2026-03-02,delta_target,25350.0,25350.0,403.8,364.0,448.9,322.65,EOD,EOD,-187.49999999999716,100.0,-287.49999999999716,-1934.9999999999995,EOD
2026-02-01,2026-02-01 09:20:00+05:30,2026-03-02,delta_target,25350.0,25350.0,401.65,350.95,317.65,384.0,COMBINED_TGT,COMBINED_TGT,2547.4999999999995,100.0,2447.4999999999995,-1820.0000000000018,COMBINED_TGT
2026-02-02,2026-02-02 09:20:00+05:30,2026-03-02,delta_target,24950.0,25300.0,417.5,569.1,350.3,569.55,COMBINED_TGT,COMBINED_TGT,3337.5000000000027,100.0,3237.5000000000027,-1702.4999999999977,COMBINED_TGT
2026-02-03,2026-02-03 09:20:00+05:30,2026-03-02,delta_target,25850.0,26950.0,593.85,799.5,378.85,799.5,COMBINED_TGT,COMBINED_TGT,10750.0,100.0,10650.0,-302.4999999999977,COMBINED_TGT
2026-02-04,2026-02-04 09:20:00+05:30,2026-03-02,delta_target,25800.0,25800.0,345.0,292.9,342.7,270.0,EOD,EOD,1259.9999999999995,100.0,1159.9999999999995,-1027.5000000000005,EOD
