trade_date,entry_time,expiry,method,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,ce_exit_reason,pe_exit_reason,gross_pnl_rupees,costs_rupees,net_pnl_rupees,max_intraday_drawdown_rupees,combined_exit_reason
2026-01-22,2026-01-22 09:30:00+05:30,2026-03-02,premium_target,27000.0,25000.0,45.85,222.65,43.3,274.1,COMBINED_SL,COMBINED_SL,-3178.500000000001,100.0,-3278.500000000001,-3178.5000000000005,COMBINED_SL
2026-01-23,2026-01-23 09:30:00+05:30,2026-03-02,premium_target,27000.0,24500.0,45.15,119.55,33.7,167.36999999999998,EOD,LEG_SL,-2364.049999999999,100.0,-2464.049999999999,-2529.799999999999,EOD
2026-01-27,2026-01-27 09:30:00+05:30,2026-03-02,premium_target,26500.0,24500.0,70.0,216.15,80.9,162.45,COMBINED_TGT,COMBINED_TGT,2782.000000000001,100.0,2682.000000000001,-780.0,COMBINED_TGT
2026-01-28,2026-01-28 09:30:00+05:30,2026-03-02,premium_target,26500.0,24500.0,76.0,119.0,67.0,105.0,EOD,EOD,1495.0,100.0,1395.0,-711.7500000000002,EOD
2026-01-29,2026-01-29 09:30:00+05:30,2026-03-02,premium_target,26500.0,24000.0,58.4,57.0,71.25,47.95,EOD,EOD,-247.00000000000028,100.0,-347.0000000000003,-581.7500000000002,EOD
2026-01-30,2026-01-30 09:30:00+05:30,2026-03-02,premium_target,26500.0,24050.0,55.1,61.2,62.0,58.6,EOD,EOD,-279.49999999999983,100.0,-379.49999999999983,-1270.7500000000002,EOD
2026-02-01,2026-02-01 09:30:00+05:30,2026-03-02,premium_target,26500.0,24000.0,59.9,60.05,39.35,84.07,EOD,LEG_SL,-225.54999999999993,100.0,-325.54999999999995,-683.7999999999997,EOD
2026-02-02,2026-02-02 09:30:00+05:30,2026-03-02,premium_target,26150.0,24000.0,60.7,123.15,52.25,88.2,COMBINED_TGT,COMBINED_TGT,2821.0000000000005,100.0,2721.0000000000005,-906.7499999999992,COMBINED_TGT
2026-02-03,2026-02-03 09:30:00+05:30,2026-03-02,premium_target,27000.0,24500.0,60.05,63.1,37.55,42.9,COMBINED_TGT,COMBINED_TGT,2775.5,100.0,2675.5,-425.7500000000003,COMBINED_TGT
2026-02-04,2026-02-04 09:30:00+05:30,2026-03-02,premium_target,26700.0,24800.0,63.0,59.25,54.85,51.45,EOD,EOD,1036.7499999999998,100.0,936.7499999999998,0.0,EOD
2026-02-05,2026-02-05 09:30:00+05:30,2026-03-02,premium_target,26550.0,24850.0,62.0,59.8,52.3,60.35,EOD,EOD,594.7499999999999,100.0,494.7499999999999,-230.74999999999983,EOD
2026-02-06,2026-02-06 09:30:00+05:30,2026-03-02,premium_target,26400.0,24800.0,62.45,58.75,67.0,49.8,EOD,EOD,286.00000000000034,100.0,186.00000000000034,0.0,EOD
2026-02-09,2026-02-09 09:30:00+05:30,2026-03-02,premium_target,26550.0,25100.0,57.25,58.1,62.0,57.85,EOD,EOD,-292.5,100.0,-392.5,-370.4999999999998,EOD
2026-02-10,2026-02-10 09:30:00+05:30,2026-03-02,premium_target,26600.0,25250.0,58.15,61.0,51.05,53.9,EOD,EOD,923.0000000000002,100.0,823.0000000000002,0.0,EOD
2026-02-11,2026-02-11 09:30:00+05:30,2026-03-02,premium_target,26550.0,25400.0,60.6,59.0,55.65,62.6,EOD,EOD,87.75000000000009,100.0,-12.249999999999915,-185.24999999999966,EOD
2026-02-12,2026-02-12 09:30:00+05:30,2026-03-02,premium_target,26450.0,25300.0,56.8,58.65,50.45,62.05,EOD,EOD,191.74999999999972,100.0,91.74999999999972,-390.0,EOD
2026-02-13,2026-02-13 09:30:00+05:30,2026-03-02,premium_target,26200.0,25000.0,59.0,61.75,53.3,86.44999999999999,EOD,LEG_SL,-1234.999999999999,100.0,-1334.999999999999,-1319.4999999999995,EOD
2026-02-16,2026-02-16 09:30:00+05:30,2026-03-02,premium_target,26100.0,24850.0,62.85,57.65,87.99,44.8,LEG_SL,EOD,-798.8499999999995,100.0,-898.8499999999995,-967.8499999999997,EOD
2026-02-17,2026-02-17 09:30:00+05:30,2026-03-02,premium_target,26150.0,25000.0,57.2,57.5,80.08,41.95,LEG_SL,EOD,-476.4499999999999,100.0,-576.4499999999998,-1136.1999999999998,EOD
2026-02-18,2026-02-18 09:30:00+05:30,2026-03-02,premium_target,26150.0,25300.0,61.25,60.8,77.1,53.55,EOD,EOD,-558.9999999999997,100.0,-658.9999999999997,-708.4999999999998,EOD
2026-02-19,2026-02-19 09:30:00+05:30,2026-03-02,premium_target,26150.0,25400.0,63.25,59.5,32.45,83.3,EOD,LEG_SL,455.0,100.0,355.0,-1137.5,EOD
2026-02-20,2026-02-20 09:30:00+05:30,2026-03-02,premium_target,25950.0,24950.0,58.4,57.85,81.75999999999999,55.3,LEG_SL,EOD,-1352.6499999999992,100.0,-1452.6499999999992,-1752.3999999999994,EOD
2026-02-23,2026-02-23 09:30:00+05:30,2026-03-02,premium_target,26150.0,25250.0,56.9,59.15,41.25,62.3,EOD,EOD,812.5,100.0,712.5,-117.00000000000023,EOD
2026-02-24,2026-02-24 09:30:00+05:30,2026-03-02,premium_target,25900.0,25100.0,54.45,58.4,37.65,81.75999999999999,EOD,LEG_SL,-426.39999999999924,100.0,-526.3999999999992,-566.1499999999991,EOD
2026-02-25,2026-02-25 09:30:00+05:30,2026-03-02,premium_target,25850.0,25350.0,56.25,56.35,35.6,78.89,EOD,LEG_SL,-122.85000000000004,100.0,-222.85000000000002,-207.3499999999999,EOD
2026-02-26,2026-02-26 09:30:00+05:30,2026-03-02,premium_target,25700.0,25350.0,65.25,64.1,48.65,89.73999999999998,EOD,LEG_SL,-587.599999999999,100.0,-687.599999999999,-704.5999999999992,EOD
2026-02-27,2026-02-27 09:30:00+05:30,2026-03-02,premium_target,25500.0,25250.0,56.5,66.4,24.5,92.96000000000001,EOD,LEG_SL,353.59999999999985,100.0,253.59999999999985,-1086.15,EOD
