name,index,interval,underlying_data,options_data,lot_size,strike_step,strike_method,entry_time,exit_time,premium_target_per_leg,premium_band,fixed_distance_points,target_delta_ce,target_delta_pe,lots,per_leg_sl_pct,combined_mtm_sl_rupees,combined_mtm_target_rupees,slippage_per_order_rupees,charges_per_lot_roundtrip_rupees,output_name,save_trades,strategy,status,trades,net_pnl,gross_pnl,max_drawdown,win_rate,avg_pnl,profit_factor,report_path,score
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,30,4000,3500,5,40,sweep_tradebook_00714.csv,False,nifty_strangle_v1,ok,26,25303.25,27903.25,-2569.75,65.38461538461539,973.2019230769231,3.767348389566358,,10.500426560500497
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,30,4000,2500,5,40,sweep_tradebook_00345.csv,False,nifty_strangle_v1,ok,26,24115.749999999996,26715.75,-2569.75,65.38461538461539,927.528846153846,3.637474708809536,,10.038319351628036
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,30,3000,2500,5,40,sweep_tradebook_00640.csv,False,nifty_strangle_v1,ok,26,23873.249999999996,26473.25,-2569.75,65.38461538461539,918.201923076923,3.54349563179203,,9.943952195289873
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,30,2000,1500,5,40,sweep_tradebook_01167.csv,False,nifty_strangle_v1,ok,25,27050.749999999993,29550.749999999996,-3233.0,80.0,1082.0299999999997,3.5996588342703366,,9.167073925146921
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,10:00,15:20,60,20,300,0.2,-0.2,1,30,3000,1500,5,40,sweep_tradebook_00609.csv,False,nifty_strangle_v1,ok,26,19892.749999999993,22492.749999999993,-2569.7500000000036,65.38461538461539,765.1057692307689,3.1194065629661187,,8.394968831149379
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,50,4000,2500,5,40,sweep_tradebook_00512.csv,False,nifty_strangle_v1,ok,25,29913.749999999996,32413.749999999996,-4378.750000000004,76.0,1196.55,4.190374616717771,,7.591572937482152
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,40,4000,1500,5,40,sweep_tradebook_00586.csv,False,nifty_strangle_v1,ok,25,28433.5,30933.5,-4302.5,80.0,1137.34,4.447320562560621,,7.408599651365485
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,50,4000,1500,5,40,sweep_tradebook_01064.csv,False,nifty_strangle_v1,ok,25,27253.75,29753.75,-4536.250000000004,80.0,1090.15,3.998624673359923,,6.807991182143836
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,delta_target,09:20,15:20,60,20,300,0.15,-0.15,1,30,4000,2500,5,40,sweep_tradebook_00324.csv,False,nifty_strangle_v1,ok,25,29825.24999999999,32325.24999999999,-4981.000000000004,76.0,1193.0099999999995,3.856345919026982,,6.7478036538847554
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,30,4000,3500,5,40,sweep_tradebook_00929.csv,False,nifty_strangle_v1,ok,25,23628.5,26128.5,-5001.0,64.0,945.14,3.8069018769303873,,5.364755048990202
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,30,2000,2500,5,40,sweep_tradebook_00516.csv,False,nifty_strangle_v1,ok,25,23538.500000000007,26038.500000000007,-5001.0,64.0,941.5400000000003,3.7488613803573516,,5.346758648270347
nifty_strangle_v1,NIFTY,5minute,data/underlying_5m.csv,data/options_5m.csv,50,50,fixed_distance,09:20,15:20,60,20,300,0.2,-0.2,1,30,2000,3500,5,40,sweep_tradebook_00269.csv,False,nifty_strangle_v1,ok,25,23483.5,25983.5,-5001.0,64.0,939.34,3.742438397757795,,5.335760847830434
